Neighbourhood,Count,No-Show Rate,Total No-Shows
ILHAS OCEÂNICAS DE TRINDADE,2,1.0,2
SANTOS DUMONT,1276,0.2892,369
SANTA CECÍLIA,448,0.2746,123
SANTA CLARA,506,0.2648,134
ITARARÉ,3514,0.2627,923
JESUS DE NAZARETH,2853,0.244,696
HORTO,175,0.24,42
ILHA DO PRÍNCIPE,2266,0.2348,532
CARATOÍRA,2565,0.2304,591
ANDORINHAS,2262,0.2303,521
PRAIA DO SUÁ,1288,0.2283,294
GURIGICA,2018,0.226,456
BENTO FERREIRA,858,0.2249,193
PARQUE MOSCOSO,802,0.2232,179
MARUÍPE,1902,0.2229,424
DO MOSCOSO,413,0.2228,92
ENSEADA DO SUÁ,235,0.2213,52
ARIOVALDO FAVALESSA,282,0.2199,62
ILHA DAS CAIEIRAS,1071,0.2194,235
FONTE GRANDE,682,0.2185,149
CRUZAMENTO,1398,0.2175,304
SÃO JOSÉ,1977,0.2165,428
BARRO VERMELHO,423,0.2151,91
NAZARETH,135,0.2148,29
ROMÃO,2215,0.214,474
CENTRO,3334,0.2109,703
UNIVERSITÁRIO,152,0.2105,32
SÃO PEDRO,2448,0.2104,515
MARIA ORTIZ,5805,0.21,1219
SANTA HELENA,178,0.2079,37
SANTOS REIS,547,0.2048,112
RESISTÊNCIA,4431,0.2045,906
SANTA TEREZA,1332,0.2042,272
GRANDE VITÓRIA,1071,0.2026,217
MONTE BELO,824,0.2015,166
BELA VISTA,1907,0.2014,384
ILHA DO FRADE,10,0.2,2
SÃO BENEDITO,1439,0.1994,287
BONFIM,2773,0.1983,550
SÃO CRISTÓVÃO,1836,0.1977,363
SANTO ANDRÉ,2571,0.1976,508
ESTRELINHA,538,0.197,106
SANTA LÚCIA,438,0.1963,86
GOIABEIRAS,700,0.1957,137
PIEDADE,452,0.1947,88
DA PENHA,2217,0.1935,429
SEGURANÇA DO LAR,145,0.1931,28
JUCUTUQUARA,694,0.1916,133
ILHA DE SANTA MARIA,1885,0.1915,361
INHANGUETÁ,1057,0.1911,202
JARDIM CAMBURI,7717,0.1898,1465
CONQUISTA,849,0.1885,160
FRADINHOS,258,0.186,48
BOA VISTA,312,0.1859,58
ANTÔNIO HONÓRIO,271,0.1845,50
PRAIA DO CANTO,1035,0.1836,190
FORTE SÃO JOÃO,1889,0.1832,346
TABUAZEIRO,3132,0.183,573
JOANA D´ARC,1427,0.1808,258
COMDUSA,310,0.1806,56
SANTA LUÍZA,428,0.1799,77
JABOUR,2509,0.1798,451
NOVA PALESTINA,2264,0.1776,402
REDENÇÃO,1553,0.1771,275
SANTO ANTÔNIO,2746,0.1763,484
PONTAL DE CAMBURI,69,0.1739,12
CONSOLAÇÃO,1376,0.1722,237
REPÚBLICA,835,0.1713,143
MATA DA PRAIA,644,0.1708,110
MORADA DE CAMBURI,96,0.1667,16
VILA RUBIM,851,0.1657,141
DO QUADRO,849,0.1649,140
JARDIM DA PENHA,3877,0.1628,631
SANTA MARTHA,3131,0.1584,496
DO CABRAL,560,0.1571,88
DE LOURDES,305,0.1541,47
SOLON BORGES,469,0.1471,69
MÁRIO CYPRESTE,371,0.1456,54
AEROPORTO,8,0.125,1
ILHA DO BOI,35,0.0857,3
PARQUE INDUSTRIAL,1,0.0,0
